,name,year,artist,lyric,,
1216,El huérfano,1922,Francisco García Jiménez,"Ante el sepulcro de mi amor detengo el paso; y esta estrofa dejaré como una flor... Y al viento errante doy mi voz, que él llevará como un adiós.  Un día te cruzaste, mujer, en mi camino; yo andaba por la vida sombrío y al azar; mi madre se había muerto, y el dulce amor divino perdido para siempre nublaba mi destino. Ya nada me quedaba cansado estaba de llorar.  Entonces me encontraste y yo algo vi en tus ojos ¡radiantes como auroras de dicha y de ilusión! Tus ojos no engañaron las ansias de mi pena, pues fuiste tú en mi vida la amada blanca y buena, ¡querida una vez sola con todo el corazón!  Y ahora me abandonas. ¡Te alejas de mi lado! ¡Me sumes en la noche tan fría del dolor! Mi pobre traje humilde de nuevo está enlutado, y el huérfano doliente que ayer has encontrado, hoy sigue siendo el huérfano de tu encantado amor.",,
1217,El huracán,,Nolo López,"El huracán desrraigó con crueldad el rosal que planté en el jardín de mi amor que cuidé con afán y, al nacer una flor, la traición le cortó sin piedad su raíz y el rosal nunca más floreció. Como al rosal mi ilusión la mató un amor de mujer que mintió. Cristo soy con mi cruz al andar, compasión solo doy al pasar. Vendaval que arrasó mi querer, huracán transformao en mujer.  Fueron sus caricias llenas de mal y traición, labios que mintieron despiadados y al besar su falsa boca se me helaba el corazón. Ilusión que se fue, amor que mató. Una mala mujer que lleva el veneno escondido en su negro corazón.  Te perdoné porque odiar yo no sé, ni rencor para ti guardaré sólo sé que su mal derrumbó el Edén que hilvané con fervor, luz de amor que jamás volverá a alumbrar a mi fiel corazón. Vago sin fe con mi cruz de dolor, hoy vivir para mí es crueldad juventud que le di sin dudar y jugó sin piedad con mi amor. Vendaval que arrasó mi querer, huracán transformao en mujer.",,
1218,El ídolo se fue,1926,Alejandro Torres,"A este mundo has dejado en un dolor sin consuelo. ¿Por qué emprendiste el vuelo? ¿Por qué tu vida has tronchado? El recuerdo ha quedado en miles de corazones como esas viejas canciones que aún ni el tiempo ha olvidado, así a este mundo has dejado vivir de una ilusión.  Guardado como idolito tu imagen ya tendrán en más de un corazoncito que calladito te llorarán. Tu vida fue una gloria que a todos conquistó, hoy solo queda la historia en la memoria del que te vio.",,
1219,El invierno,2007,Ramiro Gallo,"Tu voz liberó al invierno que estaba cautivo en tu pensamiento. Afuera, junio volcaba su angustia de lluvia sobre mi pecho.  Un sol magro y tembloroso, mi corazón que lloraba, no supo decirte nada. Rodaron palabras vacías, como en el paisaje las hojas caídas.  El invierno escribe palabras de frío, con las ramas secas, con las hojas muertas, con su mudo lápiz de helado rocío, con el cuerpo flaco de un perro aterido.  Con el humo triste de mi aliento tibio el invierno escribe palabras de frío. Palabras marchitas, y con ellas dice... ... dice que te has ido para no volver.",,
1220,El juramento (Juramento inolvidable),,Enrique Avella,"Me juraba amor eterno, pero pronto me olvidó. Por qué los hombres, cuando mienten el cariño, lo hacen de un modo que parece ser sincero y sin embargo, va encubierta la mentira en el más cálido y sentido juramento.  Me juraba amor eterno, pero pronto me olvidó.  ¡Nena! —él me decía mientras tomaba juntas mis manos— yo he de quererte la vida entera pues para amarte Dios me ha creado; yo he de robarle la gama al cielo, para brindarte todo su encanto; yo he de ser tuyo cual permanentes son, en el cielo, estrellas y astros.  Pero la vida tiene muy crueles sinsabores y, los de amor, son duros como ningún otro es; y así fue con un día muy triste, inolvidable, cuando más yo contaba con su amor y su fe, el hombre de mis sueños de mi lado se fue.",,
1221,El llamado de tu piel,,Salvador Amalfa,"Yo busco en Buenos Aires resabios de tu vida, y aquella fe perdida en un amanecer. Te busco así, con ansias igual que busca el día, su reposo tan ansiado sobre cada atardecer.  Hoy llueve Buenos Aires su lágrima de otoño, garúa terca y fina que llora en cada esquina, las cosas nuestras que se fueron y desde algún rincón, gotean su tristeza en mi desolación.  Buscarte en lo imposible fatal destino el mío, que en su delirio siempre alcanza a ver tus ojos; y en cada madrugada como un recuerdo fiel, despierta en mis sentidos el llamado de tu piel.  Te busco en mil aromas y en blancos de azucena. Te trae hasta mi pena la gris puesta de sol. Te busco así, con ansias con un latido lento, porque al irte te llevaste la mitad del corazón.  En cada instante nuevo están las horas viejas, y vos, sutil espiga, que ayer fuiste la vida hoy sos la prosa, rima y verso, de aquel, mi ciego amor y de la historia grande, mi página mejor.",,
1222,El llorón,,Enrique Cadícamo,"Yo... soy pa' el amor muy blando y a la mujer pa' conquistarla yo le hago ver de cuando en cuando que hay que llorar pa' enamorarla... Hoy... me dicen los muchachos: ""Qué hacés, llorón... que no se diga"", pero a mi qué... si el que más liga yo bien sé que es el llorón...  (coro) Llorón... (solo) No me preocupa lo que digan... (coro) Llorón... (solo) A veces llora el que más liga .. (coro) Llorón... (solo) La circunstancia es la que obliga y siempre... siempre primero yo... (coro) Llorón... (solo) Vos qué sabés lo que es conquista... (coro) Llorón... (solo) Yo pa' llorar soy un artista... (coro) Llorón... (solo) No hay una que se me resista... y siempre... siempre primero yo...  Soy... el Picaflor del Norte, m'e diplomao haciendo cortes. Por diversión yo tallo y rompo y pa' bailar soy como trompo... A ninguna me le achico... Les canto ""Flor"", me juego entero... Soy pa'l amor ""jarabe 'e pico""... ¡Hacerse a un lao... que paso yo!...",,
1223,El mal que me hiciste,1927,Luis De Biase,"Quisiera que algún día tus ojos se prendaran, tu pecho palpitara con toda su pasión. Que un noble y fiel cariño se inspire en tu alma fría y así sabrás un día como te quise yo.  Que lo ames con delirio quisiera con agrado, que sea tu bien amado la más bella ilusión. Y aquellas esperanzas de dichas que anhelaras la indiferencia hallaran que hallé en tu corazón.  Que en vano tú pretendas ahogar el desengaño que sientas todo el daño que hiciste en mi pasión. Que inútil sean tus quejas lo mismo que las mías y así sabrás un día las penas de mi amor.  Que nunca tú pudieras hundirlo en el olvido al ser que ha sumergido tu vida en un dolor. Que sufras el desprecio igual que el alma mía y así sabrás un día lo que he sufrido yo.",,
1224,El malevo,1928,María Luisa Carnelli,"Sos un malevo sin lengue, sin pinta ni compadrada, sin melena recortada, sin milonga y sin canyengue. Al elemento bacán batiste reo chamuyo... ¡Lindo parlamento el tuyo pa volcarlo en un gotán!  Entre guapos de acción, copaste la cabán. Te sobra corazón: sos un orre pur-sang. Perdoná el berretín, hermano... ¡Qué querés! Me ha dado el ventolín de batir que valés... Lo tengo que decir: muñeca pa tallar y labia pa engrupir nunca te va a faltar, porque sos el mejor reo de la ciudad, canchero, arrastrador... ¡Te sobra autoridad!  Letra firmada con el seudónimo Mario Castro.",,
1225,El mañana es siempre,,Cacho Negri,"Como diciendo que ya no me miraste, como diciendo ya no me querías, muy honda impresión ves me causaste y el corazón me late todavía. Si tu pasión por mí ha terminado con tus caricias que tanto yo gusté, si tu cariño el viento lo ha llevado, ya no eres la mujer que ambicioné.  Si es cierto que tenemos un destino resolverá con mis penas de amor, y mientras tanto seguiré el camino suspirando con la cruz de mi dolor. Perdón, yo con mis labios pediré, dulce amada en mi mocedad, por ti para triunfar sufrí y luché, y sólo fracasé porque hay maldad.  De ilusiones vida me llenaste y yo no puedo olvidar que fuista mía la grandeza de tu alma no cambiaste, por eso pienso que vendrás un día. Y su tu orgullo no lo ha comprendido que un grande amor no se olvída jamás en ti mi fe yo nunca la he perdido y si el mañana es siempre volverás.",,
1226,El manisero,,Emilio Falero,"Por las calles de mi barrio, siempre pasa un manisero andaluz dicharachero, con más garbo que un torero y una gracia sin igual. Que al vender su mercancía, dice chistes a montones y alegra los corazones, de los púber chacotones que lo sienten gritar.  “Maní, maní calentito, vengan todos a comprar; que vendo lo mejorcito del Brasil y Portugal.” Pero de un tiempo a esta parte triste anda. ¿Por qué será? Yo bien sé lo que le pasa y oigan, les voy a contar:  Él también tiene su historia, ¡pobrecito manisero! Su mujer le jugó fiero con su amigo más sincero, sin embargo no mató. Quiso vengar esta afrenta, matar al germen maldito, mas vio llorando a su hijito le dio un beso al angelito y a la calle se lanzó.  “¡Maní, maní calentito!”, se oyó a lo lejos gritar. Se amontonan al carrito los pibes del arrabal; de pronto del montoncito a un chico quiso besar, que sin duda era su hijito porque lo vi lagrimear.  “¡Maní, maní calentito!”, triste se oyó pregonar.",,
1227,El mar entre los dos,,Irma Lacroix,"Siempre anduve firme en los caminos, persiguiendo en mi destino la alegría de cantar. Todos los paisajes fueron míos, y en soberbio desafío, ambulé cielo y el mar. Lunas orientales, sol naciente, oro y plata del poniente y el milagro de tu amor; y aquella pena que al dejarte, conmovió toda mi vida al decirte: ¡Adiós!  Entre tus brazos, mi bien ancló mi fe, pero mi suerte, quiso llevarme a otros rumbos, solo, solo, siempre solo todo el mar entre los dos. Mi amor, no me interesa el andar, quiero volver, para besarte y en cada beso jurarte, que nunca mi vida, te pude olvidar.  Viejo bandoneón, no me reproches, sin en el filo de esta noche se me hiere el corazón. Siento que el tiempo no espera, que se va la primavera con su dulce floración. Pienso que su voz me está llamando, la distancia desgarrando éste siempre sin llegar, la tierra es fuerte y nos amarra, se quiebra mi esperanza en la soledad.",,
1228,El mayordomo,,Ángel Villoldo,"Soy Sinforiano, señores, el paisano más mentao, mayordomo de la estancia más nombrada del Bragao. Y no se crean ustedes de que me quiera alabar, muchacha que a mí me gusta en ancas me la sé alzar.  Soy muy tremendo para el hembraje y me respeta todo el gauchaje. En los bailongos no hay más que ver: no se me escapa ni una mujer.  No hay paisano que me gane si se trata de domar; al potro, por más soberbio, como guante sé dejar. En la taba, en las carreras, hasta aura no me han ganao y en la corrida ‘e sortija cien argollas he ensartao.  Soy el paisano más presumido y de las mozas el más querido. Soy el más taura para el amor: soy Sinforiano, un servidor.",,
1229,El miedo de vivir,1973,Eladia Blázquez,"El miedo de vivir es el señor y dueño de muchos miedos más, voraces y pequeños, en una angustia sorda que brota sin razón, y crece muchas veces ahogando el corazón. ¡El miedo de vivir es una valentía! Queriéndose asumir en cada nuevo día, es tuyo y es tan mío que sangra en el latir igual que un desafío el miedo de vivir.  Los miedos que inventamos nos acercan a todos porque en el miedo estamos juntos, codo con codo... Por temor que nos roben el amor, la paciencia y ese pan que ganamos con sudor y a conciencia. La soledad es miedo que se teje callando, el silencio es el miedo que matamos hablando, ¡y es un miedo el coraje de ponerse a pensar, en el último viaje... sin gemir ni temblar!",,
1230,El milagro,1946,Homero Expósito,"Nos habían suicidado los errores del pasado, corazón... y latías -rama seca- como late en la muñeca mi reloj. Y gritábamos unidos lo terrible del olvido sin razón, con la muda voz del yeso, sin la gracia de otro beso ni la suerte de otro error. Y anduvimos sin auroras suicidados... pero ahora, por milagro, regreso.  Y otra vez, corazón, te han herido... Pero amar es vivir otra vez. Y hoy he visto que en los árboles hay nidos y noté que en mi ventana hay un clavel. ¡Para qué recordar las tristezas! ¡Presentir y dudar, para qué! Si es amor, corazón, y regresa, hay que darse el amor como ayer.  Sabes bien que mi locura fue quererla sin mesura ni control. Y si al fin ella deseara que te mate, te matara, corazón. Para qué gritar ahora que la duda me devora. ¡Para qué, si la tengo aquí a mi lado y la quiero demasiado, demasiado más que ayer! Hoy nos ha resucitado porque Dios sabe el pasado y el milagro pudo ser.",,
1231,El mimao,,Ernesto Nocera,"(estilo) Dicen que sos el mimao de la mina que te halaga...  Porque cuando te ven con tan lujoso tren, la muchachada por vos suele decir pues sos el pibe que la percanta con sus caricias te hace vivir, y de ese modo tu pena espianta para que nunca sepas sufrir... Por eso la mujer no sabe lo que hacer para ganarse toda en tu corazón, y verte siempre, siempre a su lado por ver colmada tanta ambición, y ser querida por su mimado como ella quiere de corazón...  Pero otra mina más papirusa quiere arrancarte para el bulín porque comprende la rantifusa que en vos la suerte no tiene fin. que este trencito no es pa cualquiera como pal gringo no es gotán, y es imposible que una ramera quiera el cariño de algún bacán... ¡Cuántas pebetas van a tu lado con el instinto de la ambición, pero ninguna te ha conquistado porque se sabe ya lo que son... y es que por eso la muchachada cuando comenta en el reservao dicen con bronca disimulada que de tu paica sos el mimao...  Porque cuando te ven con tan lujoso tren la muchachada por vos suele decir que sos el pibe que la percanta con sus caricias te hace vivir, ¡y de ese modo tu pena espianta para que nunca sepas sufrir!...",,
1232,El mismo final,1956,Federico Silva,"Un vestido color té y un beso frío, maduraron este amor que duele tanto. Quise tenerte más y más te fuiste, por no saber llorar quedé sin llanto. Reventó mi corazón, cabal, poeta, y en la triste soledad quedé sin penas. Qué importa si eras buena o no eras buena, tibieza de otro sol, punto y aparte.  Cuando no puedas más, vuelve a mi lado. Vuelve vencida o triste, pero vuelve. Piensa que nunca más, ya nunca nadie podrá partirse en dos, el corazón para esperarte. Y aunque me acose más, mas he de amarte y aunque me duela más, más he de amarte. Es que llevo tu carmín entre las uñas, como un grito y es infinito el amor que puedo darte.",,
1233,El mismo mal [b],1979,Roberto Cassinelli,"No quiero que te aturdas con tu llanto; para qué tanto sufrir si no hay razón. La mentira del amor te hiere tanto y desangra sin querer tu corazón. No ves que este recuerdo te castiga y esas lágrimas te ahogan de rencor. El silencio te provoca cien heridas y la angustia... te lastima con dolor.  Las mismas penas llevamos. El mismo mal nos maltrata, este dolor que ocultamos es un puñal que nos mata. El mismo engaño lloramos, el amor nos ha mentido... las mismas penes llevamos llorando en el corezón.  Busquemos aliviar esas mentiras y alejemos un tormento tan atroz; si al cubrir el corazón con tanta ira aumentamos el veneno de los dos. Un falso amor a tu vida ha ensombrecido; también a mí un mal cariño me engañó, yo te ofrezco esta mano como amigo y olvidemos el amor... que traicionó.",,
1234,El monito,,Juan Carlos Marambio Catán,"""Mi monito"" me llamó la piba de mi amor, la que mi corazón robó y que, en mi pobre bulín, me amó con berretín sin conocer dolor. El bulín fue nido fiel de mi primer amor, donde gocé su gran pasión de amar. Y fue mi fiel mujer poniendo en mí su fe, su puro corazón.  La piba cantábame así: Si yo quiero vivir juntito a tu amor, tu amor, que curó mi dolor. ¿Por qué me dejás corazón? Sin ti, morirá mi pasión. Así, mi pebeta cantó, mi pebeta cantó su canción. ¡Qué ingrata pasó su fugaz ilusión!  Mi monito no dirá, Monito de mi amor. Mi corazón hoy la buscó en su afán sin poder ya gozar la luz de su mirar, la miel de su pasión. Mi pebeta ya se fue y nunca volverá. Talvez irá rodando al cabaret, buscando en su dolor, alivio al champán, olvido a mi desdén.",,
1235,El Mono,,Miguel Jubany,"«Cuando suena la campana te sacan hasta el banquito» Ringo Bonavena  Tenía la esperanza tendida de un zurdazo y un pedazo de angustia saltando en la sartén. Un tiempo desgarrado a fuerza de zarpazos, linimento y derrota manchándole la piel.  Un bulo miserable, también aquel retrato, recuerdo en cuatro chinches de cuando era un rey. Corrientes le citaba fantasmas en el bajo, la noche le noqueaba las ganas de volver.  Los que tanto aplaudieron, los que tanto gritaron, borracho de silencio lo dejaron de a pie. Las gradas clamorosas muy pronto lo olvidaron. ¡Pobre Mono Gatica! No hubo nada que hacer…  Muñequito caído, muñequito tirado, vendiendo chucherías, ya sin pizca de fe; quedaba su destino tirado en el asfalto. ¡Pobre Mono Gatica! No hubo nada que hacer…  La suerte lo finteaba en medio del cuadrado. Él vestía lustroso pantalón de satén. El Luna deliraba gozoso de entusiasmo mientras rudo porfiaba corajeando “sin red”.  Un día igual a muchos, un día de los tantos, el día que Dios quiso contarle hasta diez, sonaron la campana, le sacaron el banco… y pudo al fin morirse muy a solas con él.",,
1236,El motivo (Pobre paica),1920,Pascual Contursi,"Mina que fue en otro tiempo la más papa milonguera y en esas noches tangueras fue la reina del festín. Hoy no tiene pa' ponerse ni zapatos ni vestidos, anda enferma y el amigo no aportó para el bulín.  Ya no tienen sus ojazos esos fuertes resplandores y en su cara los colores se le ven palidecer. Está enferma, sufre y llora y manya con sentimiento de que así, enferma y sin vento más naide la va a querer.  Pobre paica que ha tenido a la gente rechiflada y supo con la mirada conquistar una pasión. Hoy no tiene quien se arrime por cariño a su catrera. ¡Pobre paica arrabalera que quedó sin corazón!  Y cuando de los bandoneones se oyen las notas de un tango, pobre florcita de fango siente en su alma vibrar las nostalgias de otros tiempos de placeres y de amores, ¡hoy sólo son sinsabores que la invitan a llorar!",,
1237,El mundo está hecho así,1979,Jorge Moreira,"No te pongas triste por cosas que pasan no estés amargado, aprendé a vivir, yo me puse en héroe, yo grité injusticias y logré que muchos se burlen de mí. Es cierto que hoy llaman “señor” a cualquiera que la opinión vale de acuerdo al poder, pero si algo de eso, vos gritás cabrero pa’ los anormales andás al revés.  El mundo está hecho así... por qué vas a broncar mientras vos te amargás el que te ve es feliz. Si por cada verdad mentiras hay de a mil dejalo como va seguila sin parar ¡que el mundo está hecho así!  Que nada te importe del coso de enfrente si afana o labura qué le vas a hacer cuando oigas a muchos hablar de decencia vos, pensá en tu vieja, reíte después. Trazate una línea para vos derecha no juzgués a nadie, ni con la razón que la farsa siga que pa’ la hora en serio te queda vergüenza, tenés corazón.",,
1238,El mundo está loco,,Sandalio Gómez,"El mundo está loco la gente delira soñando macanas Que nunca vendrán. Yo estoy que me muero mi pobre barriga, no vive de grupo yo quiero morfar la carne hace rato que no la olfateo, parezco diabético que barbaridad siguiendo esta racha yo me vuelvo ateo con los comestibles y la sociedad.  El Mundo está loco no hay paz ni el cielo de tanto estirarme me voy a extinguir. Casi nunca como, parezco un enfermo, y quieren que me ría, tengo que reír, que tenga confianza me dicen algunos pero ya ni veo me siento morir ya tengo la panza por el espinazo y en esta emergencia me vuelvo faquir.  Que viene el casero que el almacenero que venga la cana no puedo pagar, no cobra el lechero, ni cobra el mueblero, yo quiero puchero yo quiero morfar. Estoy demacrado, mi cuerpo se pianta no tengo ni un cobre No sé lo que hacer Camino torcido Por que estoy en llanta que papa sería volver a nacer.",,
1239,El naufragio y la canción,,Raimundo Rosales,"En las noches de sopor y desaliento nos buscamos a lo lejos, desafiantes como lobos desterrados en la nieve, como perros en la lluvia, o como amantes.  Si la fiebre se apodera de las nubes somos pájaros de un cielo subalterno, silenciamos las canciones más amables y cantamos las del beso en el infierno.  Somos sórdidos y bellos como frágiles promesas clandestinas y asaltamos, por las noches, las hogueras del amor y sus esquinas.  Nos destellan la memoria nuestros muertos más queridos y rebeldes, somos dioses incompletos, la botella de un naufragio y la canción.  Cuando asoman los milagros en derrota somos barcos encallados en el viento y volamos en Alorsas y Tuñones y volvemos en la piel de un sentimiento.  Maldecimos en idiomas inventados y juntamos mariposas en los ojos, somos tristes como un puerto y, sin embargo, brindaríamos aún en los despojos.",,
1240,El negro alegre,1907,Ángel Villoldo,"Yo soy el negro que alegre, cantando la vida se suele pasar; y que jamás siente pena, porque con la risa la sabe ahuyentar; y cuando veo otro negro, con cara muy triste, ¡qué risa me da! ¡Ja, jajajá, ja, jajajá ja, jajajajá! Y esta es la vida se ve, que debemos de pasar, ahuyentando los pesares con la risa y nada más.  ¡Cuando la veo a Panchica que sale el domingo, contenta, a pasear, y con Benito del brazo, allá por Palermo, la suelo encontrar! Al ver la yunta de negros como dos mandingas, ¡qué risa me da! ¡Ja, jajajá, ja, jajajá ja, jajajajá! Y en este mundo se ve, todos tienen que reír: yo me río de los otros y otros se ríen de mí.  Bailando anoche un tanguito con la negra Pancha el negro Ramón, queriendo hacer firuletes como fardo al suelo se fueron los dos; se lastimaron la trompa y toda la mota se le alborotó... ¡Ja, jajajá, ja, jajajá ja, jajajajá! Pobre los negros, Ramón, ¡ay que risa que me da! ¿Quién lo metió a hacer piruetas, a los negros, si no sabía bailar?  Yo soy el negro que alegre, cantando la vida se suele pasar; y que jamás siente pena, porque con la risa la sabe ahuyentar; y cuando veo otro negro, con cara muy triste, ¡qué risa me da! ¡Ja, jajajá, ja, jajajá ja, jajajajá! Y esta es la vida se ve, que debemos de pasar, ahuyentando los pesares con la risa y nada más. ¡Ja, ja, ja, já! ¡Que demonio de ""bulero"" este!",,
1241,El Nene del Abasto,,Raúl Hormaza,"Como estoy algo apartado por razón de manyamiento, ando de raje y sin vento y apoliyo de parao. No lo digo de balurdo pero tengo mi patente, soy junao en el ambiente por El Nene o El Pesao.  Pa’que vayan relojeando la campaña que yo tengo, debuté por ley de juego en Bermúdez y Nogoyá. Por lesiones y entreveros me comí la ochenta y nueve, mi prontuario no lo mueve ni un piquete ‘e la Central.  Si cualquiera ‘e los muchachos tiene algún laburo en puerta, que me pase la boleta. Aprendí todos estos fatos: purga, scruche, furca, atraco, filo misho, descuidista, ligereza y buena vista para el cambiazo de paco.  Quien precise mi trabajo le hago un precio acomodao, soy El Nene del Abasto pa’más datos El Pesao.  Si alguno lo pone en duda lo que este coso comenta, Moreno quince cincuenta, que le pasen mi tosán. Por apretar el gatillo en una bronca fulera, diez pepinos en Las Heras me hizo morfar un fiscal.  Ochenta y dos remisiones varias, con treinta en Devoto, dos en tierra por el coco y un kilo de apelación. Son datos e informaciones, pedigre de un chorro viejo, y El Pesao con todo esto se ofrece sin pretensión.",,
1242,El ocaso de la vida,,Luis Torres Rojas,"En el ocaso de la vida que llegó sin previo aviso revisando el obituario día a día te verás. Los errores cometidos guárdalos como experiencia que si no juntaste guita es lo único que habrá.  la ruleta de la vida pocas veces te sonríe más te saca que te otorga sin mirarte desangrar. Siempre igual es la fortuna y cuando esta te sonríe las envidias siempre llegan y zancadillas te darán.  Viejo, eres solo un limón seco, no te queda ni una gota después de tanto estrujar. Al que solo quedan restos de pasadas alegrías de riquezas y quimeras que quedaron al pasar.  Los amigos ya se han ido a lugares sin regreso. La familia ha crecido nuevas caras tu verás.  Ya no tienes su respeto te transformas en estorbo y molesto trasto viejo que incomoda su mirar.  La ruleta de la vida pocas veces te sonríe, más te saca que te otorga sin mirarte desangrar. Siempre igual es la fortuna y cuando esta te sonríe las envidias siempre llegan y zancadillas te darán.  Viejo, eres sólo un limón seco no te queda ni una gota después de tanto estrujar al que solo quedan restos de pasadas alegrías de riquezas y quimeras que quedaron al pasar.",,
1243,El olivo,1924,Carlos Cabral,"Allá, junto a la Ribera, un tano alegre vivía, laburando noche y día junto con su compañera. Y del Riachuelo al rumor eran felices los grullos arrullados por sus murmullos engrupidos en su amor.  Y dicen las comadres paseando junto al río: ""Los cosos se fugaron sul piccolo navio..."" Mas como no volvieron y el tiempo transcurrió, las gentes se dijeron: ""El piccolo se hundió"".  Bodegón risueño que en lejano día lleno de alegría era una canción Hasta que la suerte trocó su destino y entre sangre y vino lloró un corazón.  Porque un compadre cabrero a la tana se afilaba, de bueno la trabajaba con el cuento del ""te quiero""; y como el hombre era bueno y ella joven y coqueta, una noche la trompeta al tano se le espiantó.  Y dicen las comadres paseando junto al río: ""Los cosos se fugaron sul piccolo navio..."" Mas como no volvieron y el tiempo transcurrió, las gentes se dijeron: ""El piccolo se hundió"".",,
1244,El once (A divertirse),,Emilio Fresedo,"No deje que sus penas se vayan al viento porque serán ajenas al que oye lo cierto. No espere que una mano le afloje el dolor, sólo le dirán pobre y después se acabó. Por eso me divierto, no quiero sentirlas, no quiero oír lamentos que amarguen la vida; prefiero que se pierdan y llegue el olvido que todo remedia, que es lo mejor.  Si busca consuelo no vaya a llorar, aprenda a ser fuerte y mate el pesar. Sonría llevando a su boca el licor, que baile su almita esperando un amor. El humo de un puro, la luz del lugar, las notas que vagan le harán olvidar. Quién sabe a su lado los que irán así con los corazones para divertir.  A divertirse todos rompiendo el silencio para cantar en coro siquiera un momento. Recuerden que en la vida si algo hay de valor es de aquel que lleva pasándola mejor. Alegre su mirada no piense en lo malo, no deje que su cara se arrugue temprano. Deje que todo corra, no apure sus años que a nadie le importa lo que sintió.",,
1245,El pampeano,1905,Nemesio Trejo,"1. Sos el sueño que mitiga la pasión de mis amores… Sos la esencia de las flores que consuela mi fatiga.  Sos la virgen misteriosa que da aliento al alma mía. Sos la dulce fantasía que irradia su luz hermosa.  Imagen de lo bello, arcano de la vida ¡tierna ilusión!... ¡Que juega mentirosa con todos los secretos del corazón!…  Amor ciego, inocente, que vives deleitando las almas juveniles con tu mágico esplendor, conduélete siquiera del sufrimiento acerbo, que imprime a mi cerebro la pena y el dolor.   2. En la Pampa dilatada nace la mañana airosa, igual que al abrir la rosa su capullo en la enramada.  El sol besa con sus galas el follaje floreciente, y el día extiende sonriente sus grandes doradas alas.  El trébol da su aroma que inspira al alma mía ¡grata emoción! ¡La esencia de las flores le da vida y consuelo al corazón!...  El pájaro en la rama alegre juguetea, y echando sus gorjeos con acento sin igual… Adorna la floresta en inocente vuelo, y vive entre ilusiones el más cándido mortal.  NOTA: Siendo la tesitura de este Estilo, adecuado para voces infantiles, y escrita la 2ª poesía con este objeto, puede adoptarse como canto escolar.",,
1246,El pañuelito,1920,Gabino Coria Peñaloza,"El pañuelito blanco que te ofrecí, bordado con mi pelo, fue para ti; lo has despreciado y en llanto empapado lo tengo ante mí.  Lejos cantaba un ave, mi dulce bien, cuando me abandonaste no sé por quién, y hasta el pañuelo rodó por el suelo de ver tu desdén.  Con este pañuelo sufrió el corazón, con este pañuelo perdí una ilusión, con este pañuelo llegó el día cruel que tú me dejaste gimiendo con él. el fiel pañuelito conmigo sufrió, El fiel pañuelito conmigo quedó, el fiel pañuelito conmigo ha de ir el día que acabe mi lento sufrir.  Este pañuelito fue compañero de dolor; cuántas veces lo besé por aquel perdido amor. Bordado en él tu nombre está y lo llevo siempre aquí cuánta pena que me da recordándome de ti.  La tarde estaba triste cuando te vi y cuando de tu boca temblando oí que no me amabas y que te alejabas por siempre de mí.  El noble pañuelito en mi penar ha sido confidente de mi pesar y acaso impida que nunca en la vida te pueda olvida.",,
1247,El patio de la Morocha,,Cátulo Castillo,"Patio de la morocha que allá en el tiempo tuvo frescor de sombras como el alero. Sobre tu piso pobre ladrillos viejos, junto a mi pecho triste sus ojos negros diciendo adiós, diciendo adiós ...  Con el recuerdo de este tango vuelvo a verla. Con el recuerdo de este tango juguetón que me habla de ella. Tal vez el patio y el cedrón que me llamaba y su carita de ilusión que se asomaba. Y en el jirón de alguna linda medialuna, su cara bruna que me miraba...  Feliz paisaje de vida que duele como una herida. Pobre retazo de sueño que acaso no tenga dueño. Si estaba el alma en pedazos, cómo ingratos sus ojazos cuanto más amor pidieron se me fueron...  ¡Muchacha criolla del tiempo aquel! Tango dulzón y orillero que al corazón le reprocha, cruel, la ausencia de la morocha y el viejo patio que quiero...  Sobre tu piso pobre, ladrillos viejos. Junto a mi pecho triste, sus ojos negros diciendo adiós, diciendo adiós...",,
1248,El pecoso,,Raúl Hormaza,"Salió aquella tarde, como salen pocos, el pibe que un día se fue del hogar, aquel que en el barrio llamaban ""pecoso"" aquel, el más malo, volvía formal. Traía en el alma deseos tan grandes de ver a la madre que tanto sufrió, mientras que sus manos golpeaban la puerta, de aquella casita que un día dejó.  Destino del hombre, parece mentira, es ley de la vida la mano de Dios. Todas sus hazañas frenaron un día, las rejas tan frías de aquella prisión. Y hoy viene a brindarle a su madrecita las dulces caricias que ayer le negó.  Salió una vecina y al ver a ese mozo atenta le dijo: ¿Qué busca señor? ¿Usted no recuerda? Yo soy el ""pecoso"", aquel que en el barrio tanto molestó. Bajó la cabeza la buena vecina, un llanto en los ojos no la dejó hablar, entendió el ""pecoso"" la muda respuesta, besando un retrato se puso a llorar...",,
1249,El penado catorce,1930,Carlos Pesce,"En una celda oscura del presidio lejano el penado catorce su vida terminó; dicen los compañeros que el pobre presidiario murió haciendo señas y nadie lo entendió.  En una noche fría que el preso deliraba su mueca tan extraña dio mucho que pensar y sin embargo, nadie, de tantos carceleros, se acercó a la celda del que no pudo hablar.  Dejó una carta escrita, con frases tan dolientes, que un viejo presidiario al leerla conmovió... al mismo fratricida con alma tenebrosa que en toda su existencia amor nunca sintió.  En la carta decía: ""Ruego al juez de turno, que traigan a mi madre, le pido por favor, pues antes de morirme quisiera darle un beso en la arrugada frente de mi primer amor"".  Y en la celda sombría del lejano presidio su vida miserable el penado entregó... El último recuerdo, el nombre de la madre, y su acento tan triste el viento lo llevó...",,
